j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-3773.79	-5.58586	-0.160481	0.949663
0.11	-3542.53	-5.18413	-0.147465	0.974209
0.12	-3314.78	-4.79703	-0.134349	0.99893
0.13	-3091.27	-4.425	-0.121105	1.02384
0.14	-2872.71	-4.06837	-0.107701	1.04896
0.15	-2659.78	-3.72737	-0.0940982	1.07432
0.16	-2453.12	-3.40216	-0.0802486	1.09993
0.17	-2253.32	-3.09277	-0.066095	1.12584
0.18	-2060.95	-2.7992	-0.0515671	1.15209
0.19	-1876.5	-2.52134	-0.0365773	1.1787
0.2	-1700.44	-2.25906	-0.0210157	1.20574
0.21	-1533.15	-2.01217	-0.00474328	1.23325
0.22	-1374.98	-1.78046	0.0124187	1.2613
0.23	-1226.18	-1.56375	0.0307011	1.28995
0.24	-1086.95	-1.36185	0.0504055	1.31928
0.25	-957.424	-1.17464	0.0719264	1.34936
0.26	-837.651	-1.0021	0.0957785	1.38029
0.27	-727.611	-0.844339	0.122623	1.41216
0.28	-627.207	-0.701599	0.15328	1.44507
0.29	-536.266	-0.574239	0.18869	1.47914
0.3	-454.544	-0.462604	0.229785	1.51448
0.31	-381.723	-0.366769	0.277232	1.55121
0.32	-317.423	-0.286214	0.331103	1.58948
0.33	-261.197	-0.219623	0.390675	1.62941
0.34	-212.547	-0.165001	0.454544	1.67117
0.35	-170.926	-0.120053	0.521011	1.71491
0.36	-135.75	-0.0825936	0.588488	1.76082
0.37	-106.408	-0.0507773	0.655729	1.80906
0.38	-82.2757	-0.0231566	0.721893	1.85986
0.39	-62.7238	0.0013636	0.786494	1.91341
0.4	-47.1347	0.0236039	0.849331	1.96994
0.41	-34.9129	0.0441864	0.910404	2.02964
0.42	-25.4978	0.0635968	0.969861	2.09264
0.43	-18.3734	0.0822351	1.02794	2.15897
0.44	-13.0768	0.100456	1.08495	2.22845
0.45	-9.204	0.118606	1.14119	2.30061
0.46	-6.41295	0.137067	1.19698	2.37462
0.47	-4.42354	0.156315	1.25257	2.4493
0.48	-3.01478	0.177	1.30812	2.52326
0.49	-2.0191	0.200106	1.36368	2.59509
0.5	-1.31449	0.227208	1.41915	2.66361
0.51	-0.815731	0.260908	1.47428	2.72805
0.52	-0.465933	0.305294	1.52872	2.78804
0.53	-0.228191	0.365256	1.58207	2.84359
0.54	-0.0753871	0.442189	1.63394	2.89493
0.55	0.0187623	0.529303	1.68403	2.94243
0.56	0.0779899	0.616279	1.7321	2.9865
0.57	0.118098	0.696632	1.77805	3.02755
0.58	0.147668	0.768322	1.82185	3.06597
0.59	0.171121	0.831581	1.86356	3.10207
0.6	0.190795	0.887419	1.90324	3.13617
0.61	0.207998	0.936974	1.94102	3.16851
0.62	0.223502	0.981284	1.97704	3.19931
0.63	0.237789	1.02123	2.0114	3.22874
0.64	0.251173	1.05752	2.04425	3.25697
0.65	0.263865	1.09075	2.07569	3.28411
0.66	0.276016	1.1214	2.10585	3.3103
0.67	0.287731	1.14983	2.13482	3.33561
0.68	0.299092	1.17637	2.1627	3.36013
0.69	0.310157	1.20128	2.18957	3.38394
0.7	0.320973	1.22476	2.2155	3.40708
0.71	0.331578	1.247	2.24056	3.42963
0.72	0.341998	1.26814	2.26482	3.45162
0.73	0.352258	1.2883	2.28833	3.4731
0.74	0.362378	1.30759	2.31114	3.49409
0.75	0.372372	1.32611	2.33329	3.51464
0.76	0.382254	1.34393	2.35484	3.53477
0.77	0.392035	1.36111	2.37581	3.5545
0.78	0.401724	1.37772	2.39625	3.57387
0.79	0.41133	1.39381	2.41617	3.59288
0.8	0.420859	1.40941	2.43562	3.61157
0.81	0.430317	1.42458	2.45462	3.62994
0.82	0.43971	1.43934	2.4732	3.64801
0.83	0.449042	1.45373	2.49136	3.66579
0.84	0.458317	1.46778	2.50915	3.68331
0.85	0.467539	1.4815	2.52657	3.70056
0.86	0.476711	1.49493	2.54365	3.71756
0.87	0.485836	1.50807	2.5604	3.73433
0.88	0.494916	1.52096	2.57683	3.75086
0.89	0.503953	1.5336	2.59297	3.76718
