j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-0.637841	0.447604	1.33802	2.27198
0.11	-0.623039	0.460143	1.3503	2.28674
0.12	-0.608262	0.472697	1.36277	2.30177
0.13	-0.59351	0.485266	1.37542	2.31707
0.14	-0.578784	0.497852	1.38826	2.33262
0.15	-0.564084	0.510455	1.40128	2.3484
0.16	-0.549409	0.523077	1.41446	2.36441
0.17	-0.534759	0.535718	1.42781	2.38064
0.18	-0.520135	0.548378	1.44132	2.39707
0.19	-0.505536	0.561058	1.45498	2.41369
0.2	-0.490963	0.573758	1.46879	2.43049
0.21	-0.476415	0.586478	1.48273	2.44746
0.22	-0.461893	0.599218	1.4968	2.46458
0.23	-0.447396	0.611979	1.511	2.48184
0.24	-0.432924	0.62476	1.52531	2.49924
0.25	-0.418478	0.637561	1.53974	2.51676
0.26	-0.404057	0.650383	1.55426	2.53439
0.27	-0.389661	0.663224	1.56889	2.55213
0.28	-0.375291	0.676086	1.58361	2.56997
0.29	-0.360945	0.688968	1.59841	2.5879
0.3	-0.346625	0.701871	1.6133	2.6059
0.31	-0.33233	0.714793	1.62827	2.62399
0.32	-0.318061	0.727736	1.64331	2.64214
0.33	-0.303816	0.740698	1.65842	2.66036
0.34	-0.289596	0.753681	1.6736	2.67863
0.35	-0.275401	0.766684	1.68884	2.69696
0.36	-0.26123	0.779707	1.70414	2.71534
0.37	-0.247085	0.792751	1.71949	2.73377
0.38	-0.232964	0.805815	1.73491	2.75224
0.39	-0.218868	0.818899	1.75037	2.77075
0.4	-0.204796	0.832004	1.76588	2.78929
0.41	-0.190748	0.84513	1.78144	2.80788
0.42	-0.176725	0.858276	1.79705	2.82649
0.43	-0.162726	0.871444	1.81271	2.84513
0.44	-0.148751	0.884632	1.8284	2.8638
0.45	-0.134799	0.897842	1.84414	2.8825
0.46	-0.120872	0.911073	1.85991	2.90122
0.47	-0.106968	0.924326	1.87573	2.91997
0.48	-0.0930878	0.9376	1.89158	2.93873
0.49	-0.0792309	0.950897	1.90747	2.95752
0.5	-0.0653971	0.964215	1.9234	2.97633
0.51	-0.0515865	0.977555	1.93936	2.99516
0.52	-0.0377988	0.990918	1.95536	3.01401
0.53	-0.0240338	1.0043	1.97139	3.03288
0.54	-0.0102914	1.01771	1.98745	3.05176
0.55	0.00342857	1.03114	2.00354	3.07066
0.56	0.0171263	1.0446	2.01967	3.08958
0.57	0.0308019	1.05807	2.03582	3.10851
0.58	0.0444556	1.07157	2.05201	3.12746
0.59	0.0580876	1.08509	2.06823	3.14642
0.6	0.0716981	1.09864	2.08447	3.1654
0.61	0.0852873	1.11221	2.10074	3.18439
0.62	0.0988553	1.1258	2.11705	3.20339
0.63	0.112402	1.13942	2.13338	3.22241
0.64	0.125929	1.15306	2.14973	3.24144
0.65	0.139435	1.16672	2.16612	3.26049
0.66	0.15292	1.18041	2.18253	3.27955
0.67	0.166386	1.19412	2.19896	3.29862
0.68	0.179831	1.20786	2.21542	3.3177
0.69	0.193257	1.22162	2.23191	3.33679
0.7	0.206664	1.2354	2.24842	3.3559
0.71	0.220051	1.24921	2.26496	3.37502
0.72	0.233419	1.26305	2.28152	3.39415
0.73	0.246769	1.2769	2.29811	3.41329
0.74	0.2601	1.29078	2.31472	3.43244
0.75	0.273413	1.30469	2.33135	3.4516
0.76	0.286707	1.31862	2.34801	3.47078
0.77	0.299984	1.33257	2.36468	3.48996
0.78	0.313244	1.34655	2.38139	3.50916
0.79	0.326486	1.36055	2.39811	3.52836
0.8	0.339711	1.37457	2.41486	3.54758
0.81	0.352919	1.38862	2.43162	3.56681
0.82	0.366111	1.4027	2.44841	3.58605
0.83	0.379286	1.41679	2.46522	3.6053
