j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-893069	-17880.8	-565.434	-31.0169
0.11	-879512	-17434.5	-547.362	-29.942
0.12	-865826	-16989.2	-529.501	-28.8861
0.13	-852016	-16545.2	-511.862	-27.8497
0.14	-838090	-16102.8	-494.456	-26.8331
0.15	-824051	-15662.3	-477.293	-25.8367
0.16	-809908	-15224	-460.384	-24.8608
0.17	-795667	-14788.3	-443.739	-23.9059
0.18	-781333	-14355.3	-427.367	-22.9721
0.19	-766914	-13925.5	-411.276	-22.0597
0.2	-752417	-13499.1	-395.475	-21.1689
0.21	-737847	-13076.3	-379.973	-20.2999
0.22	-723212	-12657.5	-364.775	-19.4528
0.23	-708520	-12242.9	-349.891	-18.6278
0.24	-693776	-11832.8	-335.325	-17.8249
0.25	-678989	-11427.5	-321.083	-17.0442
0.26	-664166	-11027.1	-307.172	-16.2857
0.27	-649314	-10632.1	-293.595	-15.5493
0.28	-634440	-10242.6	-280.358	-14.835
0.29	-619553	-9858.82	-267.464	-14.1427
0.3	-604660	-9481.03	-254.915	-13.4724
0.31	-589770	-9109.45	-242.716	-12.8238
0.32	-574889	-8744.29	-230.868	-12.1968
0.33	-560026	-8385.75	-219.372	-11.5911
0.34	-545189	-8034.03	-208.229	-11.0066
0.35	-530387	-7689.32	-197.441	-10.4431
0.36	-515627	-7351.79	-187.007	-9.9001
0.37	-500919	-7021.61	-176.926	-9.37745
0.38	-486270	-6698.93	-167.198	-8.87478
0.39	-471689	-6383.91	-157.82	-8.39173
0.4	-457185	-6076.68	-148.791	-7.92794
0.41	-442766	-5777.36	-140.108	-7.48301
0.42	-428442	-5486.06	-131.768	-7.05653
0.43	-414220	-5202.89	-123.766	-6.64806
0.44	-400111	-4927.92	-116.1	-6.25717
0.45	-386122	-4661.24	-108.765	-5.88339
0.46	-372262	-4402.91	-101.755	-5.52624
0.47	-358542	-4152.98	-95.0654	-5.18525
0.48	-344969	-3911.48	-88.6902	-4.85992
0.49	-331552	-3678.45	-82.6233	-4.54973
0.5	-318301	-3453.87	-76.8582	-4.25418
0.51	-305225	-3237.77	-71.3879	-3.97274
0.52	-292333	-3030.11	-66.2053	-3.70489
0.53	-279633	-2830.87	-61.303	-3.4501
0.54	-267134	-2639.99	-56.6731	-3.20784
0.55	-254846	-2457.43	-52.3076	-2.97757
0.56	-242777	-2283.12	-48.1984	-2.75875
0.57	-230935	-2116.96	-44.337	-2.55086
0.58	-219331	-1958.85	-40.7149	-2.35335
0.59	-207971	-1808.69	-37.3234	-2.16569
0.6	-196864	-1666.35	-34.1535	-1.98735
0.61	-186018	-1531.69	-31.1965	-1.81781
0.62	-175442	-1404.56	-28.4432	-1.65654
0.63	-165143	-1284.8	-25.8848	-1.50303
0.64	-155129	-1172.24	-23.5122	-1.35678
0.65	-145406	-1066.69	-21.3164	-1.21726
0.66	-135982	-967.95	-19.2886	-1.084
0.67	-126863	-875.821	-17.4197	-0.956503
0.68	-118056	-790.087	-15.7012	-0.83429
0.69	-109567	-710.524	-14.1243	-0.716894
0.7	-101400	-636.9	-12.6806	-0.603855
0.71	-93560.3	-568.979	-11.3617	-0.494727
0.72	-86052.8	-506.515	-10.1596	-0.389069
0.73	-78880.9	-449.259	-9.06633	-0.286457
0.74	-72047.7	-396.959	-8.07422	-0.186473
0.75	-65555.5	-349.356	-7.17584	-0.0887146
0.76	-59406.1	-306.194	-6.36402	0.00720749
0.77	-53600.1	-267.212	-5.63187	0.101668
0.78	-48137.6	-232.151	-4.97277	0.195024
0.79	-43017.6	-200.754	-4.38043	0.287611
0.8	-38237.9	-172.766	-3.84883	0.379741
0.81	-33795.6	-147.935	-3.37229	0.471696
0.82	-29686.5	-126.015	-2.94541	0.563726
0.83	-25905.1	-106.766	-2.56314	0.656042
0.84	-22444.9	-89.9545	-2.22072	0.748816
0.85	-19297.8	-75.3563	-1.91371	0.842175
0.86	-16454.6	-62.7555	-1.63796	0.93621
0.87	-13904.8	-51.9468	-1.38962	1.03097
0.88	-11636.4	-42.7356	-1.16512	1.12647
0.89	-9635.9	-34.9389	-0.961192	1.2227
0.9	-7888.78	-28.3858	-0.774792	1.3196
0.91	-6379.1	-22.9179	-0.603146	1.41708
0.92	-5089.84	-18.3895	-0.443696	1.51497
0.93	-4002.97	-14.6677	-0.294092	1.61299
0.94	-3099.68	-11.6325	-0.152168	1.71072
0.95	-2360.63	-9.176	-0.0159285	1.8075
0.96	-1766.26	-7.20278	0.116452	1.90243
0.97	-1297.13	-5.62879	0.246611	1.99438
