j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-7519.69	-10.4866	0.408459	1.3906
0.11	-7092.72	-9.66181	0.416636	1.40869
0.12	-6671.58	-8.87227	0.424712	1.42683
0.13	-6257.38	-8.11869	0.432711	1.44505
0.14	-5851.22	-7.40155	0.44066	1.46336
0.15	-5454.16	-6.72112	0.448587	1.48178
0.16	-5067.21	-6.07742	0.456525	1.50033
0.17	-4691.35	-5.47029	0.464511	1.51905
0.18	-4327.47	-4.89936	0.472587	1.53798
0.19	-3976.43	-4.36408	0.480803	1.55715
0.2	-3639.02	-3.86375	0.489219	1.57662
0.21	-3315.94	-3.3975	0.497905	1.59644
0.22	-3007.81	-2.96435	0.506948	1.61668
0.23	-2715.2	-2.56323	0.516455	1.6374
0.24	-2438.54	-2.19297	0.526562	1.65869
0.25	-2178.21	-1.85239	0.537443	1.68063
0.26	-1934.45	-1.54029	0.549321	1.70331
0.27	-1707.42	-1.25548	0.562492	1.72684
0.28	-1497.16	-0.996877	0.577346	1.75134
0.29	-1303.61	-0.763506	0.5944	1.77691
0.3	-1126.6	-0.55457	0.614338	1.80367
0.31	-965.828	-0.369489	0.63804	1.83177
0.32	-820.892	-0.207899	0.666568	1.86131
0.33	-691.285	-0.0695383	0.701055	1.89242
0.34	-576.388	0.0460474	0.742401	1.92521
0.35	-475.487	0.139969	0.790816	1.95979
0.36	-387.778	0.214366	0.845444	1.99623
0.37	-312.377	0.272324	0.904453	2.03462
0.38	-248.331	0.317311	0.965594	2.07501
0.39	-194.638	0.352546	1.02684	2.11747
0.4	-150.26	0.380653	1.08672	2.16208
0.41	-114.143	0.403609	1.1444	2.20893
0.42	-85.2368	0.422855	1.19951	2.25815
0.43	-62.5151	0.439434	1.25208	2.30993
0.44	-44.9973	0.454112	1.30237	2.36449
0.45	-31.7664	0.467478	1.35081	2.42208
0.46	-21.986	0.480014	1.39793	2.48294
0.47	-14.9132	0.492152	1.44434	2.54719
0.48	-9.90746	0.504333	1.49068	2.61473
0.49	-6.43417	0.517075	1.53759	2.68503
0.5	-4.06347	0.531079	1.58568	2.75707
0.51	-2.46399	0.547412	1.63542	2.82934
0.52	-1.39208	0.567863	1.68704	2.90006
0.53	-0.677466	0.595637	1.74042	2.96757
0.54	-0.207669	0.636402	1.79497	3.03067
0.55	0.0879518	0.697943	1.84976	3.08872
0.56	0.258648	0.782392	1.90368	3.14164
0.57	0.350644	0.877059	1.95567	3.18969
0.58	0.401598	0.966204	2.00498	3.23331
0.59	0.432579	1.04316	2.05119	3.27303
0.6	0.453357	1.10767	2.09417	3.30935
0.61	0.468461	1.1616	2.13397	3.34273
0.62	0.480138	1.20703	2.17081	3.37358
0.63	0.489599	1.24574	2.20491	3.40224
0.64	0.497544	1.27914	2.23656	3.429
0.65	0.504401	1.3083	2.266	3.45411
0.66	0.510448	1.33405	2.29346	3.47777
0.67	0.515874	1.35701	2.31917	3.50015
0.68	0.520808	1.37769	2.3433	3.5214
0.69	0.525345	1.39645	2.36602	3.54163
0.7	0.529555	1.4136	2.38747	3.56095
0.71	0.533491	1.42938	2.40777	3.57946
0.72	0.537193	1.44398	2.42705	3.59722
0.73	0.540695	1.45756	2.44538	3.6143
0.74	0.544022	1.47026	2.46286	3.63077
0.75	0.547194	1.48217	2.47956	3.64666
0.76	0.550229	1.49339	2.49554	3.66203
0.77	0.553142	1.50399	2.51086	3.67691
0.78	0.555943	1.51404	2.52557	3.69134
0.79	0.558643	1.5236	2.53972	3.70535
0.8	0.561251	1.53271	2.55334	3.71896
0.81	0.563775	1.54141	2.56648	3.7322
0.82	0.566219	1.54974	2.57916	3.74509
0.83	0.568592	1.55773	2.59142	3.75765
0.84	0.570896	1.56541	2.60328	3.76991
0.85	0.573136	1.57281	2.61477	3.78187
0.86	0.575317	1.57994	2.62592	3.79355
0.87	0.577442	1.58683	2.63673	3.80496
0.88	0.579514	1.59348	2.64723	3.81613
0.89	0.581535	1.59993	2.65743	3.82705
0.9	0.583509	1.60618	2.66736	3.83775
0.91	0.585437	1.61224	2.67702	3.84823
0.92	0.587322	1.61813	2.68644	3.85849
0.93	0.589164	1.62385	2.69562	3.86856
0.94	0.590967	1.62942	2.70457	3.87843
0.95	0.592732	1.63485	2.7133	3.88812
0.96	0.59446	1.64014	2.72184	3.89763
0.97	0.596152	1.6453	2.73017	3.90697
0.98	0.597811	1.65034	2.73832	3.91615
0.99	0.599436	1.65526	2.74629	3.92516
1	0.601029	1.66008	2.75409	3.93402
1.01	0.602591	1.66478	2.76172	3.94274
1.02	0.604123	1.66939	2.7692	3.95131
1.03	0.605625	1.6739	2.77653	3.95974
1.04	0.6071	1.67832	2.78371	3.96803
1.05	0.608546	1.68265	2.79075	3.9762
1.06	0.609966	1.6869	2.79766	3.98424
1.07	0.61136	1.69107	2.80444	3.99216
1.08	0.612728	1.69516	2.81109	3.99996
1.09	0.614071	1.69918	2.81763	4.00765
1.1	0.615389	1.70313	2.82405	4.01522
1.11	0.616684	1.70701	2.83035	4.02269
1.12	0.617956	1.71083	2.83655	4.03005
1.13	0.619204	1.71458	2.84265	4.03731
1.14	0.62043	1.71827	2.84865	4.04446
1.15	0.621635	1.7219	2.85454	4.05153
1.16	0.622817	1.72548	2.86035	4.05849
1.17	0.623979	1.729	2.86606	4.06537
1.18	0.62512	1.73247	2.87169	4.07215
1.19	0.62624	1.73589	2.87723	4.07885
1.2	0.627341	1.73926	2.88268	4.08546
1.21	0.628421	1.74258	2.88806	4.09199
1.22	0.629483	1.74586	2.89336	4.09844
1.23	0.630525	1.74909	2.89858	4.1048
1.24	0.631549	1.75227	2.90373	4.1111
1.25	0.632554	1.75542	2.9088	4.11731
1.26	0.633541	1.75852	2.91381	4.12345
1.27	0.63451	1.76158	2.91875	4.12952
