j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-94442	-485.072	-4.89496	2.42375
0.11	-90521.7	-453.77	-4.39134	2.44374
0.12	-86640.3	-423.632	-3.91314	2.46314
0.13	-82802.2	-394.672	-3.45992	2.48195
0.14	-79012.1	-366.898	-3.03116	2.5002
0.15	-75274.2	-340.316	-2.62632	2.5179
0.16	-71593	-314.929	-2.24484	2.53506
0.17	-67972.7	-290.734	-1.88608	2.55168
0.18	-64417.7	-267.728	-1.54943	2.56774
0.19	-60932.1	-245.904	-1.23422	2.58323
0.2	-57520	-225.249	-0.939778	2.5981
0.21	-54185.3	-205.75	-0.665411	2.61231
0.22	-50932	-187.39	-0.410417	2.62579
0.23	-47763.6	-170.149	-0.174081	2.63845
0.24	-44684	-154.003	0.0443215	2.6502
0.25	-41696.4	-138.928	0.245526	2.66093
0.26	-38804.2	-124.893	0.430279	2.67053
0.27	-36010.4	-111.869	0.599344	2.67889
0.28	-33317.9	-99.8229	0.753495	2.68593
0.29	-30729.2	-88.7184	0.893526	2.69157
0.3	-28246.8	-78.5191	1.02025	2.6958
0.31	-25872.8	-69.1859	1.13449	2.69864
0.32	-23609.1	-60.6786	1.23708	2.70016
0.33	-21457	-52.9558	1.32887	2.70045
0.34	-19418	-45.9751	1.41069	2.69966
0.35	-17492.7	-39.6934	1.48338	2.69797
0.36	-15681.6	-34.0669	1.54773	2.69556
0.37	-13985	-29.052	1.60452	2.69265
0.38	-12402.3	-24.605	1.6545	2.68943
0.39	-10932.8	-20.6824	1.69835	2.68613
0.4	-9575.37	-17.2415	1.73672	2.68297
0.41	-8328.24	-14.2405	1.77023	2.68017
0.42	-7189.24	-11.6385	1.79944	2.67797
0.43	-6155.7	-9.39621	1.82488	2.67662
0.44	-5224.44	-7.47577	1.84707	2.67636
0.45	-4391.79	-5.8413	1.86649	2.67749
0.46	-3653.56	-4.45899	1.88364	2.68032
0.47	-3005.09	-3.29737	1.899	2.68521
0.48	-2441.27	-2.32748	1.9131	2.69257
0.49	-1956.54	-1.52303	1.9265	2.70285
0.5	-1544.99	-0.860529	1.9398	2.71659
0.51	-1200.36	-0.319272	1.95368	2.73435
0.52	-916.166	0.118726	1.96888	2.7567
0.53	-685.782	0.468976	1.98613	2.78416
0.54	-502.528	0.744884	2.00608	2.81713
0.55	-359.801	0.958254	2.02912	2.85576
0.56	-251.208	1.11979	2.05519	2.89993
0.57	-170.69	1.23942	2.08372	2.94925
0.58	-112.657	1.32626	2.1138	3.00323
0.59	-72.0992	1.38832	2.14455	3.06144
0.6	-44.6731	1.43225	2.17549	3.12363
