j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-3882.89	-5.80017	-0.111186	0.973745
0.11	-3645.78	-5.38403	-0.0984065	0.998189
0.12	-3412.24	-4.9831	-0.0855563	1.02279
0.13	-3183.03	-4.59783	-0.0726086	1.04756
0.14	-2958.87	-4.22856	-0.0595323	1.07252
0.15	-2740.43	-3.87552	-0.0462904	1.09768
0.16	-2528.39	-3.53883	-0.032839	1.12308
0.17	-2323.34	-3.21856	-0.0191251	1.14874
0.18	-2125.86	-2.91465	-0.00508415	1.1747
0.19	-1936.46	-2.627	0.00936285	1.20099
0.2	-1755.61	-2.35544	0.0243142	1.22767
0.21	-1583.71	-2.09974	0.0398933	1.25479
0.22	-1421.1	-1.85967	0.0562569	1.2824
0.23	-1268.06	-1.63496	0.0736057	1.31056
0.24	-1124.8	-1.42537	0.0921995	1.33936
0.25	-991.446	-1.2307	0.112376	1.36886
0.26	-868.058	-1.05084	0.134574	1.39916
0.27	-754.622	-0.885752	0.159361	1.43034
0.28	-651.044	-0.735559	0.18745	1.46252
0.29	-557.155	-0.600504	0.219691	1.4958
0.3	-472.711	-0.480895	0.257005	1.5303
0.31	-397.396	-0.376929	0.300202	1.56614
0.32	-330.825	-0.288411	0.349697	1.60348
0.33	-272.549	-0.214478	0.405236	1.64245
0.34	-222.065	-0.153526	0.465821	1.68321
0.35	-178.819	-0.103446	0.529947	1.72593
0.36	-142.218	-0.0620163	0.595999	1.7708
0.37	-111.642	-0.0272274	0.662572	1.81801
0.38	-86.4526	0.00256971	0.728624	1.86778
0.39	-66.0096	0.0286549	0.793489	1.92032
0.4	-49.6801	0.0519978	0.856815	1.97588
0.41	-36.8535	0.073333	0.91849	2.03464
0.42	-26.9533	0.0932288	0.978576	2.09678
0.43	-19.4473	0.112143	1.03725	2.16234
0.44	-13.8569	0.13047	1.09477	2.23116
0.45	-9.76291	0.14858	1.15142	2.30282
0.46	-6.80897	0.166864	1.20748	2.37653
0.47	-4.70217	0.185782	1.26318	2.45111
0.48	-3.21028	0.205948	1.3187	2.52518
0.49	-2.15629	0.22825	1.37407	2.59727
0.5	-1.41065	0.254072	1.42923	2.66617
0.51	-0.882272	0.285645	1.48395	2.73103
0.52	-0.509753	0.326458	1.53793	2.79144
0.53	-0.253065	0.380962	1.59079	2.84736
0.54	-0.0843103	0.451569	1.64218	2.89902
0.55	0.021575	0.533899	1.69182	2.94677
0.56	0.0881289	0.618622	1.73948	2.99103
0.57	0.132447	0.698492	1.78507	3.03221
0.58	0.164393	0.770552	1.82856	3.07071
0.59	0.189179	0.834493	1.86999	3.10687
0.6	0.209577	0.891071	1.90944	3.14098
0.61	0.227129	0.941319	1.94702	3.17331
0.62	0.242742	0.986232	1.98284	3.20407
0.63	0.256976	1.02668	2.01704	3.23345
0.64	0.270194	1.06339	2.04974	3.26161
0.65	0.282637	1.09694	2.08105	3.28868
0.66	0.294478	1.12783	2.11107	3.31477
0.67	0.305836	1.15645	2.13992	3.33999
0.68	0.316803	1.18311	2.16768	3.36441
0.69	0.327445	1.20809	2.19442	3.38811
0.7	0.337814	1.2316	2.22023	3.41115
0.71	0.347952	1.25382	2.24518	3.43358
0.72	0.357889	1.27491	2.26932	3.45545
0.73	0.367652	1.29499	2.29271	3.4768
0.74	0.377263	1.31419	2.3154	3.49768
0.75	0.386738	1.33258	2.33743	3.5181
0.76	0.396092	1.35025	2.35885	3.5381
0.77	0.405337	1.36727	2.37969	3.55771
0.78	0.414483	1.3837	2.39999	3.57695
0.79	0.42354	1.39959	2.41979	3.59583
0.8	0.432515	1.41499	2.4391	3.61439
0.81	0.441415	1.42994	2.45795	3.63263
0.82	0.450245	1.44447	2.47638	3.65056
0.83	0.45901	1.45862	2.4944	3.66821
0.84	0.467715	1.47242	2.51203	3.68559
0.85	0.476363	1.48589	2.5293	3.70271
0.86	0.484959	1.49905	2.54621	3.71958
0.87	0.493505	1.51193	2.5628	3.7362
0.88	0.502004	1.52454	2.57907	3.7526
0.89	0.510458	1.5369	2.59503	3.76877
0.9	0.51887	1.54903	2.61071	3.78473
0.91	0.527241	1.56094	2.62611	3.80049
0.92	0.535575	1.57265	2.64125	3.81604
0.93	0.543871	1.58416	2.65614	3.8314
0.94	0.552132	1.59548	2.67078	3.84658
0.95	0.56036	1.60663	2.6852	3.86157
0.96	0.568554	1.61762	2.69939	3.87639
0.97	0.576717	1.62845	2.71336	3.89104
0.98	0.58485	1.63913	2.72713	3.90553
0.99	0.592954	1.64967	2.74071	3.91985
1	0.601029	1.66008	2.75409	3.93402
1.01	0.609076	1.67035	2.76729	3.94804
1.02	0.617096	1.68051	2.78031	3.96191
1.03	0.625091	1.69055	2.79316	3.97564
1.04	0.63306	1.70047	2.80585	3.98923
1.05	0.641003	1.71029	2.81838	4.00269
1.06	0.648923	1.72001	2.83076	4.01601
1.07	0.656819	1.72963	2.84299	4.0292
1.08	0.664691	1.73916	2.85508	4.04227
1.09	0.672541	1.7486	2.86703	4.05521
1.1	0.680368	1.75794	2.87884	4.06804
1.11	0.688173	1.76721	2.89053	4.08075
1.12	0.695957	1.7764	2.90209	4.09334
1.13	0.703719	1.7855	2.91353	4.10582
1.14	0.71146	1.79454	2.92485	4.11819
1.15	0.719181	1.8035	2.93606	4.13046
1.16	0.726881	1.81239	2.94716	4.14262
1.17	0.734561	1.82122	2.95814	4.15468
1.18	0.742221	1.82998	2.96903	4.16664
1.19	0.749861	1.83868	2.97981	4.1785
1.2	0.757482	1.84732	2.9905	4.19027
1.21	0.765083	1.8559	3.00109	4.20194
1.22	0.772666	1.86442	3.01158	4.21352
1.23	0.78023	1.87289	3.02199	4.22501
1.24	0.787775	1.88131	3.03231	4.23641
1.25	0.795301	1.88968	3.04254	4.24773
1.26	0.802809	1.89799	3.05269	4.25896
1.27	0.810298	1.90626	3.06276	4.2701
1.28	0.817769	1.91448	3.07275	4.28117
1.29	0.825222	1.92266	3.08266	4.29216
1.3	0.832658	1.93079	3.09249	4.30307
1.31	0.840075	1.93888	3.10226	4.3139
1.32	0.847474	1.94693	3.11195	4.32466
1.33	0.854856	1.95494	3.12157	4.33534
1.34	0.86222	1.9629	3.13113	4.34595
1.35	0.869567	1.97083	3.14062	4.3565
1.36	0.876896	1.97873	3.15004	4.36697
1.37	0.884207	1.98659	3.1594	4.37737
1.38	0.891501	1.99441	3.1687	4.3877
1.39	0.898778	2.0022	3.17794	4.39797
1.4	0.906037	2.00995	3.18712	4.40818
1.41	0.91328	2.01768	3.19624	4.41832
1.42	0.920504	2.02537	3.2053	4.4284
1.43	0.927712	2.03303	3.21432	4.43842
1.44	0.934903	2.04066	3.22327	4.44837
1.45	0.942076	2.04826	3.23218	4.45827
1.46	0.949232	2.05584	3.24103	4.46811
1.47	0.956372	2.06338	3.24983	4.47789
1.48	0.963494	2.0709	3.25859	4.48762
1.49	0.970599	2.0784	3.26729	4.49729
1.5	0.977686	2.08587	3.27595	4.50691
1.51	0.984757	2.09331	3.28456	4.51647
1.52	0.991811	2.10073	3.29312	4.52598
1.53	0.998848	2.10812	3.30165	4.53544
1.54	1.00587	2.1155	3.31012	4.54485
1.55	1.01287	2.12285	3.31856	4.55421
1.56	1.01986	2.13017	3.32695	4.56352
1.57	1.02682	2.13748	3.33531	4.57278
1.58	1.03378	2.14477	3.34362	4.582
1.59	1.04071	2.15203	3.35189	4.59116
1.6	1.04763	2.15927	3.36012	4.60028
1.61	1.05453	2.1665	3.36832	4.60936
1.62	1.06141	2.17371	3.37648	4.61839
1.63	1.06828	2.18089	3.3846	4.62738
1.64	1.07513	2.18806	3.39269	4.63632
1.65	1.08196	2.19521	3.40074	4.64523
