j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-0.624267	0.266544	0.850211	1.88748
0.11	-0.60986	0.289546	0.882127	1.91348
0.12	-0.595472	0.312016	0.914475	1.94003
0.13	-0.581104	0.333892	0.947037	1.96703
0.14	-0.566758	0.355148	0.979608	1.99441
0.15	-0.552435	0.37578	1.01201	2.02208
0.16	-0.538134	0.395809	1.04409	2.04994
0.17	-0.523856	0.415264	1.07571	2.07793
0.18	-0.509602	0.434184	1.10679	2.10596
0.19	-0.49537	0.452611	1.13726	2.13398
0.2	-0.481163	0.470587	1.16707	2.16191
0.21	-0.466978	0.488156	1.1962	2.18972
0.22	-0.452816	0.505358	1.22464	2.21736
0.23	-0.438677	0.52223	1.25239	2.24479
0.24	-0.42456	0.538808	1.27948	2.27198
0.25	-0.410466	0.555123	1.30592	2.29893
0.26	-0.396393	0.571204	1.33175	2.32561
0.27	-0.382342	0.587077	1.35699	2.35201
0.28	-0.368312	0.602766	1.38169	2.37813
0.29	-0.354303	0.61829	1.40588	2.40398
0.3	-0.340315	0.633669	1.42959	2.42955
0.31	-0.326348	0.648918	1.45285	2.45485
0.32	-0.312401	0.664054	1.47571	2.47989
0.33	-0.298473	0.679088	1.49818	2.50467
0.34	-0.284565	0.694034	1.5203	2.52921
0.35	-0.270677	0.7089	1.5421	2.55351
0.36	-0.256807	0.723697	1.5636	2.57759
0.37	-0.242957	0.738432	1.58482	2.60146
0.38	-0.229125	0.753114	1.6058	2.62512
0.39	-0.215312	0.767749	1.62653	2.6486
0.4	-0.201516	0.782343	1.64706	2.67189
0.41	-0.187739	0.796902	1.66739	2.69501
0.42	-0.173979	0.81143	1.68753	2.71796
0.43	-0.160237	0.825931	1.70751	2.74077
0.44	-0.146512	0.84041	1.72733	2.76342
0.45	-0.132804	0.854871	1.74701	2.78595
0.46	-0.119113	0.869316	1.76656	2.80834
0.47	-0.105439	0.883748	1.78599	2.83062
0.48	-0.0917809	0.89817	1.80531	2.85278
0.49	-0.078139	0.912584	1.82452	2.87483
0.5	-0.0645131	0.926994	1.84364	2.89678
0.51	-0.050903	0.941399	1.86267	2.91864
0.52	-0.0373084	0.955803	1.88161	2.94041
0.53	-0.0237291	0.970207	1.90049	2.96209
0.54	-0.010165	0.984613	1.91929	2.98369
0.55	0.00338417	0.999021	1.93802	3.00522
0.56	0.0169186	1.01343	1.9567	3.02667
0.57	0.0304386	1.02785	1.97532	3.04806
0.58	0.0439442	1.04227	1.99389	3.06938
0.59	0.0574358	1.05671	2.01241	3.09064
0.6	0.0709134	1.07114	2.03088	3.11185
0.61	0.0843774	1.08559	2.04931	3.133
0.62	0.0978279	1.10005	2.06771	3.15409
0.63	0.111265	1.11452	2.08607	3.17514
0.64	0.124689	1.129	2.10439	3.19615
0.65	0.138101	1.14349	2.12269	3.2171
0.66	0.151499	1.15799	2.14095	3.23802
0.67	0.164886	1.1725	2.15919	3.2589
0.68	0.17826	1.18703	2.1774	3.27973
0.69	0.191622	1.20157	2.19559	3.30054
0.7	0.204972	1.21613	2.21376	3.3213
0.71	0.218311	1.2307	2.23191	3.34204
0.72	0.231638	1.24528	2.25004	3.36274
0.73	0.244954	1.25988	2.26815	3.38341
0.74	0.258259	1.27449	2.28625	3.40406
0.75	0.271553	1.28912	2.30433	3.42467
0.76	0.284837	1.30376	2.3224	3.44527
0.77	0.298111	1.31842	2.34046	3.46583
0.78	0.311374	1.33309	2.35851	3.48638
0.79	0.324627	1.34778	2.37654	3.5069
0.8	0.337871	1.36249	2.39457	3.52739
0.81	0.351105	1.37721	2.41259	3.54787
0.82	0.36433	1.39195	2.4306	3.56833
0.83	0.377546	1.4067	2.4486	3.58877
0.84	0.390753	1.42147	2.46659	3.60919
0.85	0.403951	1.43626	2.48458	3.6296
0.86	0.417141	1.45106	2.50257	3.64998
0.87	0.430323	1.46589	2.52055	3.67035
0.88	0.443497	1.48072	2.53852	3.69071
0.89	0.456662	1.49558	2.5565	3.71105
0.9	0.469821	1.51045	2.57447	3.73138
0.91	0.482971	1.52533	2.59243	3.7517
0.92	0.496115	1.54024	2.6104	3.772
0.93	0.509252	1.55516	2.62836	3.79229
0.94	0.522381	1.5701	2.64632	3.81257
0.95	0.535505	1.58505	2.66428	3.83283
0.96	0.548621	1.60002	2.68224	3.85309
0.97	0.561732	1.61501	2.7002	3.87334
0.98	0.574837	1.63002	2.71816	3.89358
0.99	0.587935	1.64504	2.73613	3.9138
1	0.601029	1.66008	2.75409	3.93402
1.01	0.614117	1.67513	2.77205	3.95423
1.02	0.627199	1.6902	2.79002	3.97444
1.03	0.640277	1.70529	2.80798	3.99463
1.04	0.65335	1.72039	2.82595	4.01482
1.05	0.666418	1.73552	2.84392	4.035
1.06	0.679482	1.75065	2.86189	4.05517
1.07	0.692541	1.76581	2.87987	4.07534
1.08	0.705597	1.78098	2.89785	4.0955
1.09	0.718649	1.79617	2.91583	4.11566
1.1	0.731697	1.81137	2.93381	4.13581
1.11	0.744742	1.82659	2.9518	4.15595
1.12	0.757783	1.84183	2.96979	4.1761
1.13	0.770821	1.85708	2.98779	4.19623
1.14	0.783857	1.87235	3.00579	4.21636
1.15	0.796889	1.88763	3.02379	4.23649
1.16	0.809919	1.90293	3.0418	4.25661
1.17	0.822947	1.91824	3.05981	4.27673
1.18	0.835972	1.93358	3.07782	4.29685
1.19	0.848996	1.94892	3.09585	4.31696
1.2	0.862018	1.96429	3.11387	4.33708
1.21	0.875038	1.97967	3.1319	4.35718
1.22	0.888056	1.99506	3.14994	4.37729
1.23	0.901073	2.01047	3.16798	4.39739
1.24	0.914089	2.02589	3.18602	4.41749
1.25	0.927104	2.04133	3.20407	4.43759
1.26	0.940119	2.05679	3.22213	4.45769
1.27	0.953132	2.07226	3.24019	4.47778
1.28	0.966145	2.08775	3.25826	4.49787
1.29	0.979158	2.10325	3.27633	4.51797
1.3	0.992171	2.11876	3.29441	4.53806
1.31	1.00518	2.13429	3.3125	4.55815
1.32	1.0182	2.14984	3.33059	4.57824
1.33	1.03121	2.1654	3.34868	4.59832
1.34	1.04422	2.18097	3.36678	4.61841
1.35	1.05724	2.19656	3.38489	4.6385
1.36	1.07025	2.21217	3.40301	4.65858
1.37	1.08327	2.22779	3.42113	4.67867
1.38	1.09628	2.24342	3.43925	4.69876
1.39	1.1093	2.25907	3.45739	4.71884
1.4	1.12232	2.27473	3.47553	4.73893
1.41	1.13534	2.2904	3.49367	4.75902
1.42	1.14837	2.30609	3.51183	4.7791
1.43	1.16139	2.3218	3.52998	4.79919
1.44	1.17442	2.33751	3.54815	4.81928
1.45	1.18744	2.35325	3.56632	4.83936
1.46	1.20048	2.36899	3.5845	4.85945
1.47	1.21351	2.38475	3.60269	4.87954
1.48	1.22654	2.40052	3.62088	4.89963
1.49	1.23958	2.41631	3.63908	4.91973
1.5	1.25262	2.43211	3.65728	4.93982
1.51	1.26567	2.44792	3.6755	4.95991
1.52	1.27871	2.46375	3.69372	4.98001
1.53	1.29176	2.47959	3.71194	5.0001
1.54	1.30482	2.49544	3.73018	5.0202
1.55	1.31787	2.51131	3.74842	5.0403
1.56	1.33093	2.52718	3.76666	5.0604
1.57	1.344	2.54308	3.78492	5.08051
