j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-7047.17	-9.92843	0.370442	1.3465
0.11	-6644.23	-9.15677	0.37935	1.36548
0.12	-6246.83	-8.41764	0.388144	1.38453
0.13	-5856.06	-7.7117	0.396848	1.40367
0.14	-5472.96	-7.03943	0.405491	1.4229
0.15	-5098.55	-6.40108	0.414103	1.44225
0.16	-4733.8	-5.79669	0.422716	1.46173
0.17	-4379.64	-5.22614	0.431369	1.48138
0.18	-4036.94	-4.68908	0.440106	1.50123
0.19	-3706.5	-4.18504	0.448977	1.52131
0.2	-3389.07	-3.71336	0.458043	1.54169
0.21	-3085.32	-3.27326	0.467375	1.5624
0.22	-2795.86	-2.86385	0.47706	1.5835
0.23	-2521.18	-2.48415	0.487206	1.60507
0.24	-2261.72	-2.13311	0.497948	1.62718
0.25	-2017.8	-1.80963	0.509458	1.64991
0.26	-1789.66	-1.51264	0.521956	1.67334
0.27	-1577.42	-1.24105	0.535729	1.69758
0.28	-1381.12	-0.993901	0.551155	1.72273
0.29	-1200.67	-0.770297	0.568728	1.7489
0.3	-1035.88	-0.569529	0.589096	1.77622
0.31	-886.455	-0.391075	0.613081	1.80479
0.32	-751.991	-0.234604	0.641663	1.83475
0.33	-631.979	-0.0998721	0.675882	1.86622
0.34	-525.811	0.013531	0.716574	1.89931
0.35	-432.786	0.106579	0.763978	1.93415
0.36	-352.12	0.181138	0.817406	1.97083
0.37	-282.954	0.239934	0.875282	2.00945
0.38	-224.37	0.286099	0.935595	2.05012
0.39	-175.404	0.32262	0.996451	2.09293
0.4	-135.061	0.351997	1.05642	2.138
0.41	-102.339	0.376155	1.11461	2.18546
0.42	-76.2407	0.396525	1.17063	2.23549
0.43	-55.8005	0.414157	1.2244	2.2883
0.44	-40.0985	0.429832	1.27613	2.3441
0.45	-28.2806	0.444157	1.32619	2.40315
0.46	-19.5724	0.45763	1.37504	2.46561
0.47	-13.2911	0.470701	1.42323	2.5315
0.48	-8.85235	0.483832	1.47134	2.60053
0.49	-5.77242	0.497564	1.51991	2.67198
0.5	-3.66582	0.512625	1.56946	2.74462
0.51	-2.23822	0.530112	1.62031	2.81684
0.52	-1.27515	0.55183	1.67257	2.88689
0.53	-0.627853	0.58091	1.726	2.95329
0.54	-0.19845	0.622586	1.78001	3.01506
0.55	0.0749845	0.68339	1.83376	3.07178
0.56	0.23646	0.764293	1.88632	3.12349
0.57	0.326585	0.854198	1.93686	3.17054
0.58	0.378209	0.939684	1.98481	3.21339
0.59	0.410362	1.0146	2.02987	3.25254
0.6	0.432284	1.07832	2.07196	3.28848
0.61	0.448408	1.13227	2.11114	3.32166
0.62	0.460991	1.1782	2.1476	3.35244
0.63	0.471267	1.21769	2.18155	3.38114
0.64	0.479955	1.25201	2.21322	3.40805
0.65	0.487502	1.28218	2.24283	3.43338
0.66	0.494197	1.30896	2.27059	3.45732
0.67	0.500237	1.33297	2.29668	3.48005
0.68	0.505758	1.35467	2.32128	3.50168
0.69	0.510861	1.37444	2.34453	3.52235
0.7	0.515619	1.39257	2.36656	3.54214
0.71	0.520089	1.40931	2.38749	3.56114
0.72	0.524313	1.42484	2.40742	3.57942
0.73	0.528325	1.43933	2.42643	3.59705
0.74	0.532154	1.4529	2.4446	3.61407
0.75	0.53582	1.46566	2.462	3.63054
0.76	0.539343	1.47771	2.4787	3.6465
0.77	0.542737	1.48912	2.49474	3.66198
0.78	0.546015	1.49996	2.51018	3.67702
0.79	0.549187	1.51028	2.52506	3.69164
0.8	0.552264	1.52014	2.53941	3.70588
0.81	0.555252	1.52957	2.55328	3.71975
0.82	0.558159	1.53862	2.5667	3.73328
0.83	0.56099	1.54732	2.57969	3.74649
0.84	0.563751	1.55569	2.59228	3.75939
0.85	0.566447	1.56376	2.60449	3.772
0.86	0.569081	1.57156	2.61635	3.78434
0.87	0.571657	1.5791	2.62788	3.79641
0.88	0.574179	1.5864	2.63909	3.80823
0.89	0.576649	1.59347	2.65	3.81981
0.9	0.57907	1.60035	2.66063	3.83117
0.91	0.581445	1.60702	2.67099	3.84231
0.92	0.583775	1.61352	2.68109	3.85323
0.93	0.586063	1.61984	2.69096	3.86396
0.94	0.58831	1.62601	2.70059	3.87449
0.95	0.590519	1.63202	2.71	3.88484
0.96	0.59269	1.63789	2.7192	3.89501
0.97	0.594825	1.64362	2.72821	3.90501
0.98	0.596926	1.64923	2.73701	3.91484
0.99	0.598993	1.65471	2.74564	3.92451
1	0.601029	1.66008	2.75409	3.93402
1.01	0.603033	1.66533	2.76237	3.94339
1.02	0.605007	1.67048	2.77049	3.95261
1.03	0.606952	1.67554	2.77845	3.96169
1.04	0.608868	1.68049	2.78626	3.97063
1.05	0.610757	1.68536	2.79393	3.97945
1.06	0.612619	1.69014	2.80146	3.98813
1.07	0.614455	1.69483	2.80886	3.99669
1.08	0.616265	1.69944	2.81613	4.00513
1.09	0.618051	1.70398	2.82327	4.01345
1.1	0.619813	1.70844	2.83029	4.02166
1.11	0.621551	1.71283	2.8372	4.02976
1.12	0.623266	1.71716	2.844	4.03775
1.13	0.624958	1.72142	2.85069	4.04564
1.14	0.626629	1.72561	2.85728	4.05342
1.15	0.628278	1.72974	2.86376	4.06111
1.16	0.629905	1.73382	2.87015	4.0687
1.17	0.631513	1.73783	2.87644	4.07619
1.18	0.633099	1.7418	2.88264	4.08359
1.19	0.634666	1.7457	2.88875	4.0909
1.2	0.636213	1.74956	2.89478	4.09813
1.21	0.637741	1.75337	2.90072	4.10527
1.22	0.639251	1.75713	2.90658	4.11232
1.23	0.640741	1.76084	2.91236	4.11929
1.24	0.642214	1.76451	2.91806	4.12619
1.25	0.643668	1.76813	2.9237	4.133
1.26	0.645105	1.77171	2.92925	4.13974
1.27	0.646525	1.77525	2.93474	4.14641
1.28	0.647927	1.77874	2.94016	4.153
1.29	0.649313	1.7822	2.94551	4.15952
1.3	0.650682	1.78562	2.9508	4.16597
1.31	0.652034	1.789	2.95602	4.17236
1.32	0.653371	1.79235	2.96118	4.17867
1.33	0.654692	1.79566	2.96629	4.18492
1.34	0.655997	1.79894	2.97133	4.19111
1.35	0.657286	1.80218	2.97632	4.19723
1.36	0.65856	1.80539	2.98125	4.2033
1.37	0.65982	1.80857	2.98612	4.2093
1.38	0.661064	1.81172	2.99095	4.21524
1.39	0.662293	1.81483	2.99572	4.22113
1.4	0.663508	1.81792	3.00044	4.22696
1.41	0.664709	1.82098	3.00511	4.23273
1.42	0.665896	1.82401	3.00973	4.23845
1.43	0.667068	1.82701	3.01431	4.24411
1.44	0.668227	1.82998	3.01884	4.24972
1.45	0.669372	1.83293	3.02333	4.25528
1.46	0.670503	1.83585	3.02777	4.26079
1.47	0.671621	1.83875	3.03216	4.26625
1.48	0.672726	1.84162	3.03652	4.27166
1.49	0.673818	1.84447	3.04083	4.27703
1.5	0.674897	1.84729	3.04511	4.28234
1.51	0.675963	1.85009	3.04934	4.28761
1.52	0.677016	1.85286	3.05354	4.29284
1.53	0.678056	1.85562	3.05769	4.29802
1.54	0.679085	1.85835	3.06181	4.30315
1.55	0.6801	1.86105	3.0659	4.30825
1.56	0.681104	1.86374	3.06994	4.3133
1.57	0.682096	1.86641	3.07396	4.31831
1.58	0.683075	1.86905	3.07793	4.32327
1.59	0.684043	1.87168	3.08188	4.3282
1.6	0.684999	1.87428	3.08579	4.33309
1.61	0.685943	1.87687	3.08967	4.33794
1.62	0.686876	1.87943	3.09352	4.34275
1.63	0.687797	1.88198	3.09733	4.34752
1.64	0.688707	1.88451	3.10112	4.35226
1.65	0.689606	1.88702	3.10487	4.35695
1.66	0.690494	1.88951	3.1086	4.36162
1.67	0.69137	1.89198	3.11229	4.36625
1.68	0.692236	1.89444	3.11596	4.37084
1.69	0.693091	1.89688	3.1196	4.3754
1.7	0.693935	1.8993	3.12321	4.37992
1.71	0.694768	1.9017	3.1268	4.38441
1.72	0.695591	1.90409	3.13035	4.38887
1.73	0.696403	1.90646	3.13389	4.3933
1.74	0.697205	1.90882	3.13739	4.39769
1.75	0.697996	1.91116	3.14087	4.40206
1.76	0.698778	1.91348	3.14433	4.40639
1.77	0.699549	1.91579	3.14776	4.41069
1.78	0.70031	1.91808	3.15117	4.41496
1.79	0.701061	1.92036	3.15455	4.4192
1.8	0.701802	1.92262	3.15791	4.42342
1.81	0.702533	1.92487	3.16125	4.4276
1.82	0.703254	1.9271	3.16456	4.43176
1.83	0.703966	1.92932	3.16785	4.43589
1.84	0.704668	1.93152	3.17112	4.43999
1.85	0.705361	1.93372	3.17437	4.44406
1.86	0.706044	1.93589	3.1776	4.44811
1.87	0.706718	1.93805	3.1808	4.45213
1.88	0.707382	1.9402	3.18399	4.45613
1.89	0.708037	1.94234	3.18715	4.46009
1.9	0.708683	1.94446	3.1903	4.46404
1.91	0.709319	1.94657	3.19342	4.46796
1.92	0.709947	1.94867	3.19653	4.47185
