j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-5.80424	-4.10577	-2.74469	-1.46832
0.11	-5.7479	-4.05976	-2.70545	-1.43475
0.12	-5.6916	-4.01381	-2.66628	-1.40126
0.13	-5.63534	-3.96792	-2.62717	-1.36786
0.14	-5.57913	-3.92209	-2.58813	-1.33455
0.15	-5.52296	-3.87632	-2.54915	-1.30132
0.16	-5.46683	-3.83061	-2.51023	-1.26818
0.17	-5.41075	-3.78496	-2.47138	-1.23513
0.18	-5.35471	-3.73938	-2.4326	-1.20217
0.19	-5.29871	-3.69386	-2.39388	-1.1693
0.2	-5.24277	-3.64841	-2.35524	-1.13653
0.21	-5.18686	-3.60302	-2.31666	-1.10385
0.22	-5.13101	-3.5577	-2.27815	-1.07127
0.23	-5.0752	-3.51244	-2.23971	-1.03879
0.24	-5.01944	-3.46725	-2.20134	-1.00641
0.25	-4.96373	-3.42213	-2.16304	-0.974128
0.26	-4.90807	-3.37707	-2.12481	-0.941954
0.27	-4.85246	-3.33208	-2.08666	-0.909886
0.28	-4.7969	-3.28717	-2.04857	-0.877927
0.29	-4.74139	-3.24232	-2.01057	-0.846079
0.3	-4.68593	-3.19754	-1.97263	-0.814343
0.31	-4.63052	-3.15283	-1.93478	-0.782723
0.32	-4.57517	-3.1082	-1.89699	-0.751222
0.33	-4.51987	-3.06364	-1.85929	-0.71984
0.34	-4.46463	-3.01915	-1.82166	-0.688583
0.35	-4.40944	-2.97473	-1.78412	-0.657451
0.36	-4.3543	-2.93039	-1.74665	-0.626449
0.37	-4.29923	-2.88613	-1.70926	-0.595579
0.38	-4.24421	-2.84194	-1.67196	-0.564846
0.39	-4.18925	-2.79783	-1.63473	-0.534252
0.4	-4.13434	-2.7538	-1.59759	-0.503801
0.41	-4.0795	-2.70984	-1.56054	-0.473497
0.42	-4.02472	-2.66596	-1.52357	-0.443345
0.43	-3.97	-2.62217	-1.48669	-0.413348
0.44	-3.91535	-2.57845	-1.4499	-0.383513
0.45	-3.86075	-2.53482	-1.41319	-0.353842
0.46	-3.80623	-2.49127	-1.37658	-0.324342
0.47	-3.75176	-2.4478	-1.34005	-0.295018
0.48	-3.69737	-2.40442	-1.30362	-0.265876
0.49	-3.64304	-2.36112	-1.26729	-0.236923
0.5	-3.58878	-2.31791	-1.23105	-0.208163
0.51	-3.53459	-2.27478	-1.1949	-0.179606
0.52	-3.48047	-2.23175	-1.15886	-0.151257
0.53	-3.42643	-2.1888	-1.12292	-0.123124
0.54	-3.37246	-2.14594	-1.08707	-0.095216
0.55	-3.31856	-2.10317	-1.05133	-0.0675411
0.56	-3.26473	-2.0605	-1.0157	-0.0401082
0.57	-3.21099	-2.01791	-0.980175	-0.0129269
0.58	-3.15732	-1.97542	-0.944757	0.0139931
0.59	-3.10373	-1.93303	-0.909451	0.0406415
0.6	-3.05023	-1.89073	-0.874258	0.0670075
0.61	-2.99681	-1.84853	-0.83918	0.09308
0.62	-2.94347	-1.80643	-0.80422	0.118848
0.63	-2.89021	-1.76442	-0.76938	0.144299
0.64	-2.83705	-1.72252	-0.734663	0.169421
0.65	-2.78397	-1.68072	-0.700071	0.194203
0.66	-2.73098	-1.63902	-0.665607	0.218633
0.67	-2.67809	-1.59742	-0.631275	0.242698
0.68	-2.62529	-1.55593	-0.597077	0.266387
0.69	-2.57258	-1.51455	-0.563017	0.28969
0.7	-2.51998	-1.47327	-0.529099	0.312597
0.71	-2.46747	-1.43211	-0.495325	0.335097
0.72	-2.41507	-1.39105	-0.461701	0.357183
0.73	-2.36277	-1.35011	-0.42823	0.378849
0.74	-2.31058	-1.30927	-0.394917	0.40009
0.75	-2.25849	-1.26856	-0.361767	0.420904
0.76	-2.20652	-1.22796	-0.328785	0.44129
0.77	-2.15466	-1.18748	-0.295977	0.46125
0.78	-2.10291	-1.14711	-0.263348	0.480788
0.79	-2.05129	-1.10687	-0.230906	0.499913
0.8	-1.99978	-1.06675	-0.198656	0.518634
0.81	-1.9484	-1.02676	-0.166606	0.536964
0.82	-1.89715	-0.986887	-0.134765	0.55492
0.83	-1.84603	-0.947146	-0.103141	0.57252
0.84	-1.79504	-0.907534	-0.071742	0.589784
0.85	-1.74418	-0.868055	-0.0405793	0.606737
0.86	-1.69347	-0.828709	-0.00966311	0.623404
0.87	-1.6429	-0.789499	0.020995	0.639813
0.88	-1.59248	-0.750427	0.0513826	0.655995
0.89	-1.54221	-0.711496	0.0814865	0.671981
0.9	-1.49209	-0.672707	0.111292	0.687804
0.91	-1.44213	-0.634064	0.140785	0.703498
0.92	-1.39234	-0.595569	0.169948	0.7191
0.93	-1.34271	-0.557225	0.198764	0.734647
0.94	-1.29326	-0.519034	0.227215	0.750176
0.95	-1.24399	-0.481001	0.255282	0.765726
0.96	-1.19489	-0.443128	0.282944	0.781336
0.97	-1.14599	-0.405419	0.310181	0.797047
0.98	-1.09728	-0.367878	0.336973	0.812898
0.99	-1.04877	-0.330509	0.363297	0.82893
1	-1.00046	-0.293317	0.389134	0.84518
1.01	-0.95237	-0.256306	0.414463	0.861688
1.02	-0.904497	-0.219482	0.439266	0.878491
1.03	-0.856849	-0.182851	0.463528	0.895623
1.04	-0.809434	-0.14642	0.487235	0.913117
1.05	-0.76226	-0.110194	0.510377	0.931
1.06	-0.715336	-0.0741833	0.532949	0.949299
1.07	-0.668669	-0.0383951	0.554952	0.968033
1.08	-0.622268	-0.00283954	0.57639	0.987218
1.09	-0.576142	0.0324725	0.597277	1.00686
1.1	-0.530303	0.0675289	0.61763	1.02698
1.11	-0.484759	0.102316	0.637475	1.04755
1.12	-0.439521	0.136818	0.656845	1.06859
1.13	-0.394601	0.171019	0.675777	1.09008
1.14	-0.350012	0.204898	0.694317	1.11201
1.15	-0.305765	0.238434	0.712516	1.13435
1.16	-0.261873	0.271601	0.730431	1.1571
1.17	-0.218352	0.304373	0.748123	1.18023
1.18	-0.175216	0.336717	0.76566	1.20372
1.19	-0.13248	0.368601	0.783112	1.22754
1.2	-0.0901624	0.399984	0.800556	1.25168
1.21	-0.0482799	0.430828	0.81807	1.27611
1.22	-0.00685205	0.461085	0.835737	1.30081
1.23	0.0341008	0.490712	0.853642	1.32576
1.24	0.0745566	0.519659	0.87187	1.35095
1.25	0.114492	0.54788	0.890505	1.37636
1.26	0.15388	0.575331	0.90963	1.40197
1.27	0.192695	0.601977	0.929321	1.42778
1.28	0.230904	0.62779	0.949645	1.45376
1.29	0.268475	0.652756	0.970656	1.47991
1.3	0.305371	0.676879	0.992396	1.50623
1.31	0.341551	0.700182	1.01489	1.53269
1.32	0.376971	0.722708	1.03814	1.5593
1.33	0.41158	0.744522	1.06213	1.58606
1.34	0.445323	0.765708	1.08685	1.61295
1.35	0.478141	0.78637	1.11224	1.63998
1.36	0.509969	0.806624	1.13825	1.66714
1.37	0.540736	0.826596	1.16484	1.69443
1.38	0.570372	0.84642	1.19193	1.72185
1.39	0.598806	0.866229	1.21948	1.7494
1.4	0.625969	0.886149	1.2474	1.77708
1.41	0.651805	0.906297	1.27566	1.80489
1.42	0.676272	0.926769	1.30418	1.83282
1.43	0.699346	0.94764	1.33293	1.86088
1.44	0.72103	0.968954	1.36184	1.88907
1.45	0.741351	0.990727	1.39089	1.91738
1.46	0.760362	1.01295	1.42003	1.94581
1.47	0.778135	1.03558	1.44922	1.97437
1.48	0.794758	1.05857	1.47844	2.00305
1.49	0.810328	1.08185	1.50765	2.03185
1.5	0.824942	1.10536	1.53683	2.06076
1.51	0.838699	1.12902	1.56596	2.08978
1.52	0.851691	1.15276	1.595	2.1189
1.53	0.864003	1.17653	1.62396	2.14813
1.54	0.875711	1.20028	1.65281	2.17746
1.55	0.886885	1.22395	1.68153	2.20687
1.56	0.897584	1.2475	1.71011	2.23637
1.57	0.907861	1.2709	1.73855	2.26595
1.58	0.917764	1.29413	1.76683	2.29559
1.59	0.927333	1.31716	1.79494	2.32529
1.6	0.936602	1.33998	1.82289	2.35504
1.61	0.945603	1.36256	1.85066	2.38484
1.62	0.954363	1.3849	1.87824	2.41467
1.63	0.962904	1.40699	1.90565	2.44453
1.64	0.971249	1.42883	1.93286	2.4744
1.65	0.979415	1.45041	1.95989	2.50428
1.66	0.987419	1.47173	1.98673	2.53416
1.67	0.995273	1.49279	2.01338	2.56403
1.68	1.00299	1.51359	2.03983	2.59387
1.69	1.01059	1.53413	2.0661	2.62369
1.7	1.01807	1.55441	2.09218	2.65348
1.71	1.02544	1.57444	2.11808	2.68322
1.72	1.03272	1.59423	2.14378	2.71291
1.73	1.0399	1.61376	2.16931	2.74254
1.74	1.04701	1.63306	2.19465	2.7721
1.75	1.05403	1.65212	2.21981	2.8016
1.76	1.06099	1.67094	2.24479	2.83102
1.77	1.06788	1.68954	2.2696	2.86035
1.78	1.0747	1.70792	2.29424	2.8896
1.79	1.08147	1.72608	2.31871	2.91875
1.8	1.08818	1.74403	2.34301	2.94781
1.81	1.09484	1.76178	2.36714	2.97677
1.82	1.10145	1.77933	2.39111	3.00563
1.83	1.10802	1.79667	2.41492	3.03438
1.84	1.11455	1.81383	2.43858	3.06302
1.85	1.12103	1.83081	2.46208	3.09155
1.86	1.12748	1.8476	2.48543	3.11997
1.87	1.1339	1.86422	2.50862	3.14828
1.88	1.14028	1.88067	2.53167	3.17647
1.89	1.14663	1.89695	2.55458	3.20455
1.9	1.15295	1.91307	2.57734	3.2325
1.91	1.15925	1.92904	2.59996	3.26035
1.92	1.16552	1.94485	2.62244	3.28807
1.93	1.17176	1.96051	2.64479	3.31568
1.94	1.17798	1.97603	2.667	3.34317
1.95	1.18418	1.99141	2.68908	3.37054
1.96	1.19036	2.00666	2.71103	3.39779
1.97	1.19651	2.02177	2.73286	3.42493
1.98	1.20265	2.03676	2.75455	3.45196
1.99	1.20878	2.05162	2.77613	3.47887
2	1.21488	2.06636	2.79758	3.50566
2.01	1.22097	2.08098	2.81891	3.53235
2.02	1.22705	2.09549	2.84013	3.55892
2.03	1.23311	2.10988	2.86123	3.58538
2.04	1.23916	2.12417	2.88221	3.61173
2.05	1.24519	2.13835	2.90308	3.63797
2.06	1.25122	2.15244	2.92385	3.6641
2.07	1.25723	2.16642	2.9445	3.69013
2.08	1.26323	2.18031	2.96504	3.71605
2.09	1.26922	2.1941	2.98548	3.74187
2.1	1.27521	2.2078	3.00582	3.76758
2.11	1.28118	2.22141	3.02605	3.79319
2.12	1.28715	2.23494	3.04619	3.8187
2.13	1.29311	2.24839	3.06622	3.84412
2.14	1.29906	2.26175	3.08616	3.86943
2.15	1.305	2.27503	3.106	3.89465
2.16	1.31094	2.28824	3.12574	3.91977
2.17	1.31687	2.30137	3.1454	3.9448
2.18	1.32279	2.31442	3.16496	3.96973
2.19	1.32872	2.32741	3.18443	3.99458
2.2	1.33463	2.34033	3.20381	4.01933
2.21	1.34054	2.35317	3.22311	4.04399
2.22	1.34645	2.36596	3.24232	4.06856
2.23	1.35235	2.37868	3.26144	4.09304
2.24	1.35825	2.39134	3.28048	4.11744
2.25	1.36415	2.40393	3.29944	4.14176
2.26	1.37004	2.41647	3.31832	4.16598
2.27	1.37593	2.42895	3.33711	4.19013
2.28	1.38182	2.44137	3.35583	4.21419
2.29	1.3877	2.45374	3.37448	4.23817
2.3	1.39359	2.46606	3.39304	4.26207
2.31	1.39947	2.47832	3.41154	4.28589
2.32	1.40535	2.49054	3.42995	4.30964
2.33	1.41123	2.5027	3.4483	4.3333
2.34	1.4171	2.51481	3.46657	4.35689
2.35	1.42298	2.52688	3.48478	4.3804
2.36	1.42885	2.5389	3.50291	4.40384
2.37	1.43473	2.55088	3.52098	4.42721
2.38	1.4406	2.56282	3.53898	4.4505
2.39	1.44648	2.57471	3.55691	4.47372
2.4	1.45235	2.58656	3.57478	4.49686
2.41	1.45822	2.59837	3.59259	4.51994
2.42	1.4641	2.61014	3.61033	4.54295
2.43	1.46997	2.62187	3.62801	4.56589
2.44	1.47585	2.63356	3.64563	4.58876
2.45	1.48172	2.64522	3.66319	4.61156
2.46	1.4876	2.65684	3.68069	4.6343
2.47	1.49348	2.66842	3.69813	4.65697
2.48	1.49936	2.67997	3.71551	4.67957
2.49	1.50524	2.69149	3.73284	4.70212
2.5	1.51112	2.70297	3.75011	4.72459
