j	t1(j)	t2(j)	t3(j)	t4(j)
0.1	-0.857678	0.0482322	0.830733	1.48133
0.11	-0.834298	0.0719945	0.853238	1.5073
0.12	-0.811139	0.0955227	0.875676	1.53364
0.13	-0.788199	0.11882	0.898057	1.56031
0.14	-0.765477	0.141891	0.920387	1.58729
0.15	-0.74297	0.164739	0.94267	1.61452
0.16	-0.720678	0.187368	0.964912	1.64198
0.17	-0.698596	0.209781	0.987114	1.66963
0.18	-0.676725	0.231982	1.00928	1.69745
0.19	-0.655061	0.253974	1.03141	1.72541
0.2	-0.633603	0.275763	1.0535	1.75347
0.21	-0.612349	0.297351	1.07556	1.78163
0.22	-0.591297	0.318742	1.09758	1.80986
0.23	-0.570444	0.33994	1.11957	1.83814
0.24	-0.549789	0.36095	1.14153	1.86646
0.25	-0.52933	0.381775	1.16345	1.8948
0.26	-0.509065	0.402418	1.18534	1.92316
0.27	-0.488991	0.422885	1.2072	1.95152
0.28	-0.469107	0.443179	1.22903	1.97987
0.29	-0.44941	0.463304	1.25083	2.00822
0.3	-0.429899	0.483264	1.2726	2.03655
0.31	-0.410571	0.503063	1.29434	2.06486
0.32	-0.391424	0.522705	1.31605	2.09314
0.33	-0.372456	0.542195	1.33773	2.1214
0.34	-0.353665	0.561536	1.35939	2.14963
0.35	-0.335049	0.580732	1.38103	2.17782
0.36	-0.316606	0.599787	1.40264	2.20598
0.37	-0.298334	0.618706	1.42423	2.23411
0.38	-0.280229	0.637492	1.4458	2.2622
0.39	-0.262291	0.656148	1.46735	2.29025
0.4	-0.244517	0.67468	1.48888	2.31827
0.41	-0.226905	0.69309	1.51039	2.34625
0.42	-0.209453	0.711382	1.53188	2.37419
0.43	-0.192158	0.729561	1.55336	2.40209
0.44	-0.175019	0.747628	1.57482	2.42995
0.45	-0.158033	0.765589	1.59626	2.45778
0.46	-0.141198	0.783447	1.61769	2.48557
0.47	-0.124511	0.801204	1.6391	2.51332
0.48	-0.107971	0.818865	1.6605	2.54104
0.49	-0.0915762	0.836432	1.68188	2.56871
0.5	-0.0753233	0.853908	1.70325	2.59635
0.51	-0.0592104	0.871298	1.7246	2.62395
0.52	-0.0432355	0.888603	1.74595	2.65152
0.53	-0.0273964	0.905826	1.76728	2.67904
0.54	-0.0116908	0.922971	1.78859	2.70654
0.55	0.00388327	0.94004	1.8099	2.73399
0.56	0.0193281	0.957036	1.83119	2.76141
0.57	0.0346458	0.973961	1.85246	2.78879
0.58	0.0498384	0.990818	1.87373	2.81614
0.59	0.0649082	1.00761	1.89498	2.84345
0.6	0.0798571	1.02434	1.91622	2.87072
0.61	0.0946875	1.041	1.93744	2.89796
0.62	0.109401	1.05761	1.95866	2.92516
0.63	0.124	1.07416	1.97986	2.95233
0.64	0.138487	1.09066	2.00105	2.97946
0.65	0.152864	1.1071	2.02222	3.00656
0.66	0.167132	1.12349	2.04338	3.03362
0.67	0.181293	1.13984	2.06453	3.06065
0.68	0.195351	1.15613	2.08566	3.08765
0.69	0.209306	1.17238	2.10678	3.11461
0.7	0.22316	1.18859	2.12788	3.14153
0.71	0.236916	1.20475	2.14898	3.16842
0.72	0.250576	1.22087	2.17005	3.19528
0.73	0.264141	1.23695	2.19112	3.2221
0.74	0.277613	1.253	2.21217	3.24889
0.75	0.290995	1.269	2.2332	3.27565
0.76	0.304287	1.28497	2.25422	3.30237
0.77	0.317493	1.30091	2.27523	3.32906
0.78	0.330613	1.31681	2.29622	3.35571
0.79	0.343649	1.33268	2.31719	3.38233
0.8	0.356604	1.34852	2.33815	3.40892
0.81	0.369478	1.36433	2.3591	3.43548
0.82	0.382275	1.38011	2.38003	3.462
0.83	0.394994	1.39586	2.40094	3.48849
0.84	0.407639	1.41159	2.42184	3.51495
0.85	0.42021	1.42728	2.44272	3.54138
0.86	0.43271	1.44296	2.46359	3.56777
0.87	0.445139	1.4586	2.48444	3.59413
0.88	0.4575	1.47423	2.50528	3.62046
0.89	0.469794	1.48983	2.5261	3.64676
0.9	0.482023	1.50541	2.54691	3.67303
0.91	0.494187	1.52096	2.5677	3.69927
0.92	0.506289	1.5365	2.58847	3.72547
0.93	0.51833	1.55201	2.60923	3.75165
0.94	0.530312	1.5675	2.62997	3.77779
0.95	0.542236	1.58298	2.6507	3.80391
0.96	0.554102	1.59843	2.67141	3.82999
0.97	0.565914	1.61387	2.6921	3.85604
0.98	0.577671	1.62929	2.71278	3.88207
0.99	0.589376	1.64469	2.73344	3.90806
1	0.601029	1.66008	2.75409	3.93402
1.01	0.612632	1.67544	2.77472	3.95996
1.02	0.624186	1.6908	2.79533	3.98586
1.03	0.635692	1.70613	2.81593	4.01174
1.04	0.647152	1.72146	2.83652	4.03758
1.05	0.658567	1.73676	2.85708	4.0634
1.06	0.669937	1.75206	2.87764	4.08919
1.07	0.681265	1.76734	2.89817	4.11495
1.08	0.692551	1.7826	2.91869	4.14069
1.09	0.703796	1.79786	2.9392	4.16639
1.1	0.715001	1.8131	2.95969	4.19207
1.11	0.726168	1.82832	2.98016	4.21772
1.12	0.737297	1.84354	3.00062	4.24334
1.13	0.748389	1.85874	3.02106	4.26894
1.14	0.759446	1.87393	3.04149	4.29451
1.15	0.770468	1.88911	3.06191	4.32005
1.16	0.781457	1.90428	3.0823	4.34557
1.17	0.792413	1.91944	3.10269	4.37105
1.18	0.803337	1.93459	3.12306	4.39652
1.19	0.814231	1.94973	3.14341	4.42195
1.2	0.825094	1.96486	3.16375	4.44737
1.21	0.835928	1.97998	3.18407	4.47275
1.22	0.846734	1.99509	3.20438	4.49811
1.23	0.857513	2.01019	3.22468	4.52345
1.24	0.868265	2.02528	3.24496	4.54876
1.25	0.878991	2.04036	3.26523	4.57404
1.26	0.889692	2.05544	3.28548	4.5993
1.27	0.900369	2.0705	3.30572	4.62454
1.28	0.911023	2.08556	3.32594	4.64975
1.29	0.921653	2.10061	3.34615	4.67494
1.3	0.932262	2.11565	3.36635	4.7001
1.31	0.942849	2.13069	3.38653	4.72524
1.32	0.953416	2.14572	3.40671	4.75036
1.33	0.963962	2.16074	3.42686	4.77545
1.34	0.97449	2.17575	3.44701	4.80053
1.35	0.984998	2.19076	3.46714	4.82557
1.36	0.995489	2.20576	3.48725	4.8506
1.37	1.00596	2.22075	3.50736	4.8756
1.38	1.01642	2.23574	3.52745	4.90058
1.39	1.02686	2.25072	3.54753	4.92554
1.4	1.03728	2.2657	3.5676	4.95048
